Date,Price,Open,High,Low,Change %
02/01/1975,183,179.1,189,171.3,2.81%
03/01/1975,179.5,183.3,187.5,175,-1.91%
04/01/1975,166.8,179.7,179.9,162.3,-7.08%
05/01/1975,169,167,176.9,163.4,1.32%
06/01/1975,167.8,164.5,175,160,-0.71%
07/01/1975,173.4,168.3,175.4,161.4,3.34%
08/01/1975,162.8,173.8,173.9,160.4,-6.11%
09/01/1975,142.2,152.8,156.3,129,-12.65%
10/01/1975,142.8,145,148,138.5,0.42%
11/01/1975,138.8,143.5,149.1,138.1,-2.80%
12/01/1975,141,138.8,147.9,136.7,1.59%
01/01/1976,129,140.8,141.5,123.4,-8.51%
02/01/1976,132.6,130.5,134.7,128.5,2.79%
03/01/1976,129.7,132.5,135.3,127.5,-2.19%
04/01/1976,128.9,129.7,131,126.9,-0.62%
05/01/1976,127.3,128.8,129.8,124.1,-1.24%
06/01/1976,123.9,127.8,132.5,123.5,-2.67%
07/01/1976,114.2,123.6,124.5,105,-7.83%
08/01/1976,103.2,113.7,115.2,100,-9.63%
09/01/1976,116.1,104.3,121,104.1,12.50%
10/01/1976,123.8,115.8,126,112.9,6.63%
11/01/1976,132.6,122.8,141,122.8,7.11%
12/01/1976,135.7,131.9,139.9,131.3,2.34%
01/01/1977,134,135.5,137.7,127.5,-1.25%
02/01/1977,144.6,134,145.4,132.8,7.91%
03/01/1977,151,143,154.7,142.4,4.43%
04/01/1977,148,150.5,154.7,144.8,-1.99%
05/01/1977,144.3,147.9,149.7,142,-2.50%
06/01/1977,143.6,144.8,145.6,137.6,-0.49%
07/01/1977,147.1,143.5,148,140.5,2.44%
08/01/1977,148.1,147.2,150.2,144,0.68%
09/01/1977,156.4,147.7,157.1,147.4,5.60%
10/01/1977,162.7,157.8,166.8,155.4,4.03%
11/01/1977,162.3,163.8,169.9,154.7,-0.25%
12/01/1977,167.5,162.9,167.9,157.1,3.20%
01/01/1978,178.9,169.9,179.7,165.5,6.81%
02/01/1978,184.4,179.4,185.8,173.6,3.07%
03/01/1978,186.2,184.9,192.8,176,0.98%
04/01/1978,170.6,185.7,185.9,166.8,-8.38%
05/01/1978,187,170.3,188.4,169.2,9.61%
06/01/1978,183.7,185.5,189.3,181.9,-1.76%
07/01/1978,209.8,184.5,210,183.2,14.21%
08/01/1978,210.6,214,221.5,201.5,0.38%
09/01/1978,220.9,212,224.6,207.6,4.89%
10/01/1978,240.7,220.5,249.4,220.2,8.96%
11/01/1978,196.4,230.7,230.7,192,-18.40%
12/01/1978,229,196,229.6,195.8,16.60%
01/01/1979,236.6,229.1,239.3,216.6,3.32%
02/01/1979,252.9,235,258.8,232,6.89%
03/01/1979,243.8,250.7,252.9,235,-3.60%
04/01/1979,249.2,243.8,250.7,231.8,2.21%
