date,close
2013-04-01,"16,775"
2013-04-02,"16,840"
2013-04-03,"17,110"
2013-04-04,"16,970"
2013-04-05,"16,610"
2013-04-08,"16,410"
2013-04-09,"16,405"
2013-04-10,"16,490"
2013-04-11,"16,860"
2013-04-12,"16,790"
2013-04-15,"16,900"
2013-04-16,"16,965"
2013-04-17,"17,050"
2013-04-18,"16,705"
2013-04-19,"16,645"
2013-04-22,"17,010"
2013-04-23,"17,090"
2013-04-24,"17,160"
2013-04-25,"17,075"
2013-04-26,"17,190"
2013-04-29,"17,165"
2013-04-30,"17,300"
2013-05-02,"17,030"
2013-05-03,"17,280"
2013-05-06,"17,080"
2013-05-07,"17,070"
2013-05-08,"17,070"
2013-05-09,"17,290"
2013-05-10,"17,015"
2013-05-13,"17,100"
2013-05-14,"17,200"
2013-05-15,"17,255"
2013-05-16,"17,450"
2013-05-20,"17,430"
2013-05-21,"17,640"
2013-05-22,"17,820"
2013-05-23,"17,900"
2013-05-24,"18,020"
2013-05-27,"18,050"
2013-05-28,"18,200"
2013-05-29,"18,300"
2013-05-30,"18,145"
2013-05-31,"18,245"
2013-06-03,"17,975"
2013-06-04,"18,135"
2013-06-05,"17,760"
2013-06-07,"17,210"
2013-06-10,"17,655"
2013-06-11,"17,470"
2013-06-12,"17,455"
2013-06-13,"17,270"
2013-06-14,"17,020"
2013-06-17,"16,585"
2013-06-18,"17,100"
2013-06-19,"17,140"
2013-06-20,"16,900"
2013-06-21,"16,770"
2013-06-24,"16,340"
2013-06-25,"15,750"
2013-06-26,"15,860"
2013-06-27,"16,480"
2013-06-28,"16,620"
2013-07-01,"16,680"
2013-07-02,"16,170"
2013-07-03,"16,015"
2013-07-04,"16,035"
2013-07-05,"15,800"
2013-07-08,"15,375"
2013-07-09,"15,700"
2013-07-10,"15,535"
2013-07-11,"16,085"
2013-07-12,"16,155"
2013-07-15,"16,220"
2013-07-16,"16,305"
2013-07-17,"16,410"
2013-07-18,"16,430"
2013-07-19,"16,330"
2013-07-22,"16,130"
2013-07-23,"16,210"
2013-07-24,"16,345"
2013-07-25,"16,385"
2013-07-26,"16,315"
2013-07-29,"16,110"
2013-07-30,"16,215"
2013-07-31,"16,320"
2013-08-01,"16,330"
2013-08-02,"16,355"
2013-08-05,"16,365"
2013-08-06,"16,105"
2013-08-07,"15,945"
2013-08-08,"15,830"
2013-08-09,"15,930"
2013-08-12,"15,945"
2013-08-13,"16,500"
2013-08-14,"16,845"
2013-08-16,"16,750"
2013-08-19,"16,665"
2013-08-20,"16,490"
2013-08-21,"16,310"
2013-08-22,"16,010"
2013-08-23,"16,450"
2013-08-26,"16,410"
2013-08-27,"16,180"
2013-08-28,"16,040"
2013-08-29,"16,210"
2013-08-30,"16,410"
2013-09-02,"16,430"
2013-09-03,"16,340"
2013-09-04,"16,430"
2013-09-05,"16,490"
2013-09-06,"16,290"
2013-09-09,"16,385"
2013-09-10,"16,505"
2013-09-11,"16,570"
2013-09-12,"16,600"
2013-09-13,"16,690"
2013-09-16,"16,750"
2013-09-17,"16,795"
2013-09-23,"16,855"
2013-09-24,"16,930"
2013-09-25,"16,750"
2013-09-26,"16,930"
2013-09-27,"17,075"
2013-09-30,"17,075"
2013-10-01,"16,950"
2013-10-02,"17,315"
2013-10-04,"17,580"
2013-10-07,"17,620"
2013-10-08,"17,525"
2013-10-10,"17,640"
2013-10-11,"17,845"
2013-10-14,"17,820"
2013-10-15,"17,850"
2013-10-16,"17,850"
2013-10-17,"17,800"
2013-10-18,"17,925"
2013-10-21,"17,895"
2013-10-22,"17,695"
2013-10-23,"17,410"
2013-10-24,"17,545"
2013-10-25,"17,610"
2013-10-28,"17,765"
2013-10-29,"17,595"
2013-10-30,"17,840"
2013-10-31,"17,645"
2013-11-01,"17,885"
2013-11-04,"17,865"
2013-11-05,"17,515"
2013-11-06,"17,255"
2013-11-07,"17,190"
2013-11-08,"16,895"
2013-11-11,"16,600"
2013-11-12,"16,970"
2013-11-13,"16,750"
2013-11-14,"16,900"
2013-11-15,"17,310"
2013-11-18,"17,340"
2013-11-19,"17,270"
2013-11-20,"16,895"
2013-11-21,"16,810"
2013-11-22,"16,845"
2013-11-25,"17,150"
2013-11-26,"17,260"
2013-11-27,"17,380"
2013-11-28,"17,610"
2013-11-29,"17,690"
2013-12-02,"17,545"
2013-12-03,"17,225"
2013-12-04,"17,130"
2013-12-05,"17,060"
2013-12-06,"17,220"
2013-12-09,"17,340"
2013-12-10,"17,280"
2013-12-11,"17,160"
2013-12-12,"17,080"
2013-12-13,"17,045"
2013-12-16,"17,035"
2013-12-17,"16,935"
2013-12-18,"16,890"
2013-12-19,"16,750"
2013-12-20,"16,845"
2013-12-23,"17,140"
2013-12-24,"17,030"
2013-12-26,"16,840"
2013-12-27,"17,190"
2013-12-30,"17,290"
2014-01-02,"16,785"
2014-01-03,"17,070"
2014-01-06,"17,340"
2014-01-07,"17,370"
2014-01-08,"17,580"
2014-01-09,"17,670"
2014-01-10,"17,495"
2014-01-13,"17,420"
2014-01-14,"17,405"
2014-01-15,"17,340"
2014-01-16,"17,345"
2014-01-17,"17,320"
2014-01-20,"17,675"
2014-01-21,"17,645"
2014-01-22,"17,790"
2014-01-23,"17,645"
2014-01-24,"17,705"
2014-01-27,"17,255"
2014-01-28,"17,490"
2014-01-29,"17,770"
2014-02-03,"17,765"
2014-02-04,"17,285"
2014-02-05,"17,300"
2014-02-06,"17,660"
2014-02-07,"17,810"
2014-02-10,"17,810"
2014-02-11,"17,935"
2014-02-12,"17,975"
2014-02-13,"17,960"
2014-02-14,"17,925"
2014-02-17,"17,905"
2014-02-18,"17,970"
2014-02-19,"18,035"
2014-02-20,"17,885"
2014-02-21,"18,180"
2014-02-24,"18,090"
2014-02-25,"18,075"
2014-02-26,"18,230"
2014-02-27,"18,150"
2014-02-28,"18,175"
2014-03-03,"18,040"
2014-03-04,"18,130"
2014-03-05,"18,230"
2014-03-06,"18,300"
2014-03-07,"18,360"
2014-03-10,"18,115"
2014-03-11,"18,285"
2014-03-12,"17,975"
2014-03-13,"18,195"
2014-03-14,"18,130"
2014-03-17,"17,740"
2014-03-18,"17,895"
2014-03-19,"17,970"
2014-03-20,"17,960"
2014-03-21,"18,300"
2014-03-24,"18,175"
2014-03-25,"17,885"
2014-03-26,"18,150"
2014-03-27,"17,875"
2014-03-28,"18,050"
2014-03-31,"18,005"
2014-04-01,"18,240"
2014-04-02,"18,415"
2014-04-03,"18,445"
2014-04-04,"18,560"
2014-04-07,"18,470"
2014-04-08,"18,475"
2014-04-09,"18,245"
2014-04-10,"18,445"
2014-04-11,"18,295"
2014-04-14,"18,365"
2014-04-15,"18,360"
2014-04-16,"18,435"
2014-04-17,"18,280"
2014-04-18,"18,840"
2014-04-21,"18,950"
2014-04-22,"18,950"
2014-04-23,"19,000"
2014-04-24,"18,995"
2014-04-25,"18,795"
2014-04-28,"18,745"
2014-04-29,"18,585"
2014-04-30,"18,620"
2014-05-02,"18,510"
2014-05-07,"18,295"
2014-05-08,"18,130"
2014-05-09,"18,200"
2014-05-12,"18,455"
2014-05-13,"18,670"
2014-05-14,"18,720"
2014-05-15,"18,630"
2014-05-16,"18,710"
2014-05-19,"18,415"
2014-05-20,"18,530"
2014-05-21,"18,490"
2014-05-22,"18,510"
2014-05-23,"18,605"
2014-05-26,"18,680"
2014-05-27,"18,765"
2014-05-28,"18,900"
2014-05-29,"19,025"
2014-05-30,"18,880"
2014-06-02,"18,890"
2014-06-03,"18,865"
2014-06-05,"18,735"
2014-06-09,"18,710"
2014-06-10,"19,035"
2014-06-11,"18,910"
2014-06-12,"18,880"
2014-06-13,"18,730"
2014-06-16,"19,000"
2014-06-17,"19,130"
2014-06-18,"19,195"
2014-06-19,"19,080"
2014-06-20,"18,870"
2014-06-23,"18,590"
2014-06-24,"18,935"
2014-06-25,"18,780"
2014-06-26,"18,565"
2014-06-27,"18,320"
2014-06-30,"18,615"
2014-07-01,"18,800"
2014-07-02,"19,075"
2014-07-03,"19,270"
2014-07-04,"19,125"
2014-07-07,"19,210"
2014-07-08,"19,345"
2014-07-09,"19,195"
2014-07-10,"19,080"
2014-07-11,"18,810"
2014-07-14,"18,955"
2014-07-15,"19,125"
2014-07-16,"19,150"
2014-07-17,"19,340"
2014-07-18,"19,265"
2014-07-21,"19,240"
2014-07-22,"19,290"
2014-07-23,"19,190"
2014-07-24,"19,030"
2014-07-25,"18,960"
2014-07-28,"18,560"
2014-07-29,"18,210"
2014-07-30,"18,330"
2014-07-31,"17,770"
2014-08-01,"17,825"
2014-08-04,"18,105"
2014-08-05,"18,000"
2014-08-06,"17,555"
2014-08-07,"17,525"
2014-08-08,"17,300"
2014-08-11,"17,465"
2014-08-12,"17,275"
2014-08-13,"17,475"
2014-08-14,"17,625"
2014-08-18,"17,500"
2014-08-19,"17,525"
2014-08-20,"17,710"
2014-08-21,"17,800"
2014-08-22,"17,790"
2014-08-25,"17,935"
2014-08-26,"17,780"
2014-08-27,"17,720"
2014-08-28,"17,765"
2014-08-29,"17,860"
2014-09-01,"17,595"
2014-09-02,"17,415"
2014-09-03,"17,040"
2014-09-04,"17,185"
2014-09-05,"17,310"
2014-09-11,"17,460"
2014-09-12,"17,430"
2014-09-15,"17,205"
2014-09-16,"17,300"
2014-09-17,"17,390"
2014-09-18,"17,250"
2014-09-19,"17,335"
2014-09-22,"17,100"
2014-09-23,"16,900"
2014-09-24,"16,945"
2014-09-25,"17,020"
2014-09-26,"17,070"
2014-09-29,"17,045"
2014-09-30,"16,990"
2014-10-01,"16,625"
2014-10-02,"16,810"
2014-10-06,"16,790"
2014-10-07,"16,880"
2014-10-08,"16,960"
2014-10-10,"16,670"
2014-10-13,"16,150"
2014-10-14,"16,470"
2014-10-15,"16,470"
2014-10-16,"16,425"
2014-10-17,"16,125"
2014-10-20,"16,420"
2014-10-21,"16,445"
2014-10-22,"16,840"
2014-10-23,"16,870"
2014-10-24,"16,615"
2014-10-27,"16,525"
2014-10-28,"16,665"
2014-10-29,"16,870"
2014-10-30,"17,130"
2014-10-31,"17,495"
2014-11-03,"17,295"
2014-11-04,"17,130"
2014-11-05,"17,050"
2014-11-06,"17,000"
2014-11-07,"17,225"
2014-11-10,"17,490"
2014-11-11,"17,430"
2014-11-12,"17,550"
2014-11-13,"17,475"
2014-11-14,"17,425"
2014-11-17,"16,860"
2014-11-18,"17,030"
2014-11-19,"17,300"
2014-11-20,"17,285"
2014-11-21,"17,225"
2014-11-24,"17,325"
2014-11-25,"17,455"
2014-11-26,"17,540"
2014-11-27,"17,770"
2014-11-28,"17,850"
2014-12-01,"17,805"
2014-12-02,"17,770"
2014-12-03,"17,820"
2014-12-04,"17,980"
2014-12-05,"18,000"
2014-12-08,"18,115"
2014-12-09,"18,255"
2014-12-10,"17,950"
2014-12-11,"17,720"
2014-12-12,"17,645"
2014-12-15,"17,640"
2014-12-16,"17,450"
2014-12-17,"17,370"
2014-12-18,"17,465"
2014-12-19,"17,985"
2014-12-22,"18,100"
2014-12-23,"18,320"
2014-12-24,"18,310"
2014-12-26,"18,260"
2014-12-29,"18,715"
2014-12-30,"18,700"
2015-01-02,"18,900"
2015-01-05,"18,890"
2015-01-06,"18,640"
2015-01-07,"18,750"
2015-01-08,"19,100"
2015-01-09,"19,330"
2015-01-12,"19,325"
2015-01-13,"19,105"
2015-01-14,"19,065"
2015-01-15,"19,065"
2015-01-16,"18,730"
2015-01-19,"18,910"
2015-01-20,"18,935"
2015-01-21,"19,320"
2015-01-22,"19,200"
2015-01-23,"19,295"
2015-01-26,"19,305"
2015-01-27,"19,425"
2015-01-28,"19,225"
2015-01-29,"19,095"
2015-01-30,"19,115"
2015-02-02,"18,860"
2015-02-03,"18,855"
2015-02-04,"18,920"
2015-02-05,"18,755"
2015-02-06,"18,795"
2015-02-09,"18,780"
2015-02-10,"18,855"
2015-02-11,"19,190"
2015-02-12,"19,150"
2015-02-13,"19,300"
2015-02-16,"19,300"
2015-02-17,"19,240"
2015-02-23,"19,410"
2015-02-24,"19,555"
2015-02-25,"19,400"
2015-02-26,"19,400"
2015-02-27,"19,575"
2015-03-02,"19,820"
2015-03-03,"19,960"
2015-03-04,"19,950"
2015-03-05,"20,015"
2015-03-06,"20,260"
2015-03-09,"19,905"
2015-03-10,"19,640"
2015-03-11,"19,740"
2015-03-12,"19,685"
2015-03-13,"19,835"
2015-03-16,"19,890"
2015-03-17,"19,960"
2015-03-18,"19,980"
2015-03-19,"19,665"
2015-03-20,"19,705"
2015-03-23,"20,035"
2015-03-24,"20,060"
2015-03-25,"20,190"
2015-03-26,"19,570"
2015-03-27,"19,525"
2015-03-30,"19,815"
2015-03-31,"19,800"
2015-04-01,"19,510"
2015-04-02,"19,345"
2015-04-03,"19,410"
2015-04-06,"19,630"
2015-04-07,"19,405"
2015-04-08,"19,205"
2015-04-09,"19,345"
2015-04-10,"19,685"
2015-04-13,"19,575"
2015-04-14,"19,295"
2015-04-15,"19,300"
2015-04-16,"19,480"
2015-04-17,"19,400"
2015-04-20,"19,225"
2015-04-21,"19,460"
2015-04-22,"19,275"
2015-04-23,"19,860"
2015-04-24,"19,675"
2015-04-27,"19,645"
2015-04-28,"19,700"
2015-04-29,"19,905"
2015-04-30,"19,765"
2015-05-04,"19,430"
2015-05-06,"18,895"
2015-05-07,"19,195"
2015-05-08,"19,345"
2015-05-11,"19,290"
2015-05-12,"19,080"
2015-05-13,"19,440"
2015-05-14,"19,685"
2015-05-15,"20,065"
2015-05-18,"19,990"
2015-05-19,"20,120"
2015-05-20,"20,160"
2015-05-21,"19,950"
2015-05-22,"20,100"
2015-05-26,"19,890"
2015-05-27,"19,755"
2015-05-28,"19,920"
2015-05-29,"20,275"
2015-06-01,"20,175"
2015-06-02,"20,060"
2015-06-03,"19,815"
2015-06-04,"19,895"
2015-06-05,"20,200"
2015-06-08,"20,040"
2015-06-09,"19,965"
2015-06-10,"19,680"
2015-06-11,"19,540"
2015-06-12,"19,485"
2015-06-15,"19,085"
2015-06-16,"18,820"
2015-06-17,"19,115"
2015-06-18,"19,170"
2015-06-19,"19,230"
2015-06-22,"19,440"
2015-06-23,"19,560"
2015-06-24,"19,265"
2015-06-25,"19,270"
2015-06-26,"19,070"
2015-06-29,"18,860"
2015-06-30,"18,920"
2015-07-01,"19,060"
2015-07-02,"18,930"
2015-07-03,"19,180"
2015-07-06,"18,610"
2015-07-07,"18,695"
2015-07-08,"18,630"
2015-07-09,"18,535"
2015-07-10,"18,690"
2015-07-13,"18,960"
2015-07-14,"18,620"
2015-07-15,"18,770"
2015-07-16,"19,420"
2015-07-17,"19,550"
2015-07-20,"19,285"
2015-07-21,"19,200"
2015-07-22,"18,965"
2015-07-23,"18,670"
2015-07-24,"18,565"
2015-07-27,"18,220"
2015-07-28,"18,065"
2015-07-29,"18,110"
2015-07-30,"17,440"
2015-07-31,"17,610"
2015-08-03,"17,395"
2015-08-04,"17,585"
2015-08-05,"17,685"
2015-08-06,"17,575"
2015-08-07,"17,635"
2015-08-10,"17,445"
2015-08-11,"17,555"
2015-08-12,"17,165"
2015-08-13,"17,380"
2015-08-17,"17,050"
2015-08-18,"16,975"
2015-08-19,"16,570"
2015-08-20,"16,305"
2015-08-21,"15,630"
2015-08-24,"15,075"
2015-08-25,"15,940"
2015-08-26,"16,095"
2015-08-27,"16,350"
2015-08-28,"16,650"
2015-08-31,"16,575"
2015-09-01,"16,250"
2015-09-02,"16,235"
2015-09-03,"16,495"
2015-09-04,"16,220"
2015-09-07,"16,060"
2015-09-08,"15,995"
2015-09-09,"16,465"
2015-09-10,"16,335"
2015-09-11,"16,485"
2015-09-14,"16,355"
2015-09-15,"16,265"
2015-09-16,"16,620"
2015-09-17,"16,610"
2015-09-18,"16,800"
2015-09-21,"16,445"
2015-09-22,"16,500"
2015-09-23,"16,150"
2015-09-24,"15,985"
2015-09-25,"15,735"
2015-09-30,"15,830"
2015-10-01,"16,000"
2015-10-02,"15,880"
2015-10-05,"16,075"
2015-10-06,"16,315"
2015-10-07,"16,900"
2015-10-08,"16,840"
2015-10-12,"16,705"
2015-10-13,"16,650"
2015-10-14,"16,650"
2015-10-15,"16,900"
2015-10-16,"16,835"
2015-10-19,"16,750"
2015-10-20,"16,770"
2015-10-21,"16,515"
2015-10-22,"16,230"
2015-10-23,"16,200"
2015-10-26,"16,250"
2015-10-27,"16,265"
2015-10-28,"16,305"
2015-10-29,"16,490"
2015-10-30,"16,530"
2015-11-02,"16,765"
2015-11-03,"16,735"
2015-11-04,"16,675"
2015-11-05,"16,750"
2015-11-06,"16,455"
2015-11-09,"16,310"
2015-11-10,"15,880"
2015-11-11,"16,110"
2015-11-12,"16,155"
2015-11-13,"15,985"
2015-11-16,"15,775"
2015-11-17,"16,045"
2015-11-18,"16,105"
2015-11-19,"16,255"
2015-11-20,"16,450"
2015-11-23,"16,360"
2015-11-24,"16,300"
2015-11-25,"16,515"
2015-11-26,"17,060"
2015-11-27,"16,730"
2015-11-30,"16,455"
2015-12-01,"16,550"
2015-12-02,"16,540"
2015-12-03,"16,450"
2015-12-04,"16,400"
2015-12-07,"16,400"
2015-12-08,"16,240"
2015-12-09,"16,235"
2015-12-10,"16,290"
2015-12-11,"16,115"
2015-12-14,"15,770"
2015-12-15,"15,905"
2015-12-16,"16,250"
2015-12-17,"16,300"
2015-12-18,"16,500"
2015-12-21,"16,670"
2015-12-22,"16,700"
2015-12-23,"16,950"
2015-12-24,"16,760"
