date,close
2013-04-01,"7,765"
2013-04-02,"7,525"
2013-04-03,"7,550"
2013-04-04,"7,545"
2013-04-05,"7,390"
2013-04-08,"7,445"
2013-04-09,"7,410"
2013-04-10,"7,480"
2013-04-11,"7,535"
2013-04-12,"7,445"
2013-04-15,"7,325"
2013-04-16,"7,345"
2013-04-17,"7,310"
2013-04-18,"7,195"
2013-04-19,"7,215"
2013-04-22,"7,375"
2013-04-23,"7,340"
2013-04-24,"7,475"
2013-04-25,"7,425"
2013-04-26,"7,370"
2013-04-29,"7,160"
2013-04-30,"7,160"
2013-05-02,"6,935"
2013-05-03,"6,860"
2013-05-06,"6,885"
2013-05-07,"6,860"
2013-05-08,"6,945"
2013-05-09,"7,210"
2013-05-10,"7,130"
2013-05-13,"7,105"
2013-05-14,"7,180"
2013-05-15,"7,250"
2013-05-16,"7,360"
2013-05-20,"7,365"
2013-05-21,"7,370"
2013-05-22,"7,455"
2013-05-23,"7,350"
2013-05-24,"7,490"
2013-05-27,"7,490"
2013-05-28,"7,490"
2013-05-29,"7,650"
2013-05-30,"7,565"
2013-05-31,"7,540"
2013-06-03,"7,520"
2013-06-04,"7,475"
2013-06-05,"7,225"
2013-06-07,"7,190"
2013-06-10,"7,225"
2013-06-11,"7,270"
2013-06-12,"7,200"
2013-06-13,"7,035"
2013-06-14,"7,030"
2013-06-17,"7,040"
2013-06-18,"7,075"
2013-06-19,"7,050"
2013-06-20,"6,915"
2013-06-21,"6,765"
2013-06-24,"6,640"
2013-06-25,"6,595"
2013-06-26,"6,680"
2013-06-27,"6,770"
2013-06-28,"6,820"
2013-07-01,"6,825"
2013-07-02,"6,855"
2013-07-03,"6,700"
2013-07-04,"6,695"
2013-07-05,"6,740"
2013-07-08,"6,810"
2013-07-09,"6,845"
2013-07-10,"6,850"
2013-07-11,"7,065"
2013-07-12,"7,075"
2013-07-15,"7,070"
2013-07-16,"7,060"
2013-07-17,"7,080"
2013-07-18,"6,995"
2013-07-19,"7,035"
2013-07-22,"7,070"
2013-07-23,"7,310"
2013-07-24,"7,310"
2013-07-25,"7,270"
2013-07-26,"7,240"
2013-07-29,"7,220"
2013-07-30,"7,280"
2013-07-31,"7,325"
2013-08-01,"7,350"
2013-08-02,"7,410"
2013-08-05,"7,360"
2013-08-06,"7,295"
2013-08-07,"7,205"
2013-08-08,"7,260"
2013-08-09,"7,310"
2013-08-12,"7,280"
2013-08-13,"7,335"
2013-08-14,"7,340"
2013-08-16,"7,275"
2013-08-19,"7,230"
2013-08-20,"7,155"
2013-08-21,"7,065"
2013-08-22,"6,975"
2013-08-23,"7,000"
2013-08-26,"7,000"
2013-08-27,"6,965"
2013-08-28,"6,880"
2013-08-29,"7,040"
2013-08-30,"7,185"
2013-09-02,"7,180"
2013-09-03,"7,325"
2013-09-04,"7,380"
2013-09-05,"7,400"
2013-09-06,"7,380"
2013-09-09,"7,495"
2013-09-10,"7,595"
2013-09-11,"7,680"
2013-09-12,"7,625"
2013-09-13,"7,575"
2013-09-16,"7,695"
2013-09-17,"7,725"
2013-09-23,"7,865"
2013-09-24,"7,835"
2013-09-25,"7,760"
2013-09-26,"7,775"
2013-09-27,"7,810"
2013-09-30,"7,675"
2013-10-01,"7,695"
2013-10-02,"7,700"
2013-10-04,"7,765"
2013-10-07,"7,770"
2013-10-08,"7,725"
2013-10-10,"7,630"
2013-10-11,"7,955"
2013-10-14,"7,990"
2013-10-15,"8,065"
2013-10-16,"8,270"
2013-10-17,"8,425"
2013-10-18,"8,535"
2013-10-21,"8,500"
2013-10-22,"8,360"
2013-10-23,"8,165"
2013-10-24,"8,290"
2013-10-25,"8,185"
2013-10-28,"8,200"
2013-10-29,"8,185"
2013-10-30,"8,305"
2013-10-31,"8,265"
2013-11-01,"8,190"
2013-11-04,"7,980"
2013-11-05,"7,990"
2013-11-06,"7,935"
2013-11-07,"7,920"
2013-11-08,"7,825"
2013-11-11,"7,835"
2013-11-12,"7,845"
2013-11-13,"7,640"
2013-11-14,"7,620"
2013-11-15,"7,930"
2013-11-18,"7,950"
2013-11-19,"8,070"
2013-11-20,"7,975"
2013-11-21,"7,855"
2013-11-22,"7,970"
2013-11-25,"7,960"
2013-11-26,"7,935"
2013-11-27,"7,910"
2013-11-28,"7,960"
2013-11-29,"7,955"
2013-12-02,"8,000"
2013-12-03,"7,970"
2013-12-04,"7,870"
2013-12-05,"7,785"
2013-12-06,"7,825"
2013-12-09,"7,950"
2013-12-10,"8,020"
2013-12-11,"7,850"
2013-12-12,"7,820"
2013-12-13,"7,855"
2013-12-16,"7,755"
2013-12-17,"7,770"
2013-12-18,"8,020"
2013-12-19,"8,060"
2013-12-20,"8,165"
2013-12-23,"8,230"
2013-12-24,"8,220"
2013-12-26,"8,265"
2013-12-27,"8,335"
2013-12-30,"8,540"
2014-01-02,"8,490"
2014-01-03,"8,235"
2014-01-06,"8,235"
2014-01-07,"8,160"
2014-01-08,"8,195"
2014-01-09,"8,290"
2014-01-10,"8,090"
2014-01-13,"8,105"
2014-01-14,"8,015"
2014-01-15,"8,070"
2014-01-16,"8,075"
2014-01-17,"7,975"
2014-01-20,"7,925"
2014-01-21,"8,010"
2014-01-22,"7,980"
2014-01-23,"7,860"
2014-01-24,"7,950"
2014-01-27,"7,850"
2014-01-28,"7,790"
2014-01-29,"8,020"
2014-02-03,"7,820"
2014-02-04,"7,680"
2014-02-05,"7,685"
2014-02-06,"7,750"
2014-02-07,"7,740"
2014-02-10,"7,585"
2014-02-11,"7,645"
2014-02-12,"7,700"
2014-02-13,"7,620"
2014-02-14,"7,645"
2014-02-17,"7,940"
2014-02-18,"7,960"
2014-02-19,"7,910"
2014-02-20,"7,865"
2014-02-21,"7,970"
2014-02-24,"8,030"
2014-02-25,"8,065"
2014-02-26,"8,090"
2014-02-27,"8,065"
2014-02-28,"8,145"
2014-03-03,"7,985"
2014-03-04,"8,005"
2014-03-05,"8,090"
2014-03-06,"8,110"
2014-03-07,"8,065"
2014-03-10,"7,875"
2014-03-11,"7,955"
2014-03-12,"7,790"
2014-03-13,"7,780"
2014-03-14,"7,720"
2014-03-17,"7,770"
2014-03-18,"7,785"
2014-03-19,"7,825"
2014-03-20,"7,660"
2014-03-21,"7,710"
2014-03-24,"7,765"
2014-03-25,"7,760"
2014-03-26,"7,925"
2014-03-27,"7,890"
2014-03-28,"7,965"
2014-03-31,"7,975"
2014-04-01,"7,935"
2014-04-02,"7,945"
2014-04-03,"7,825"
2014-04-04,"7,840"
2014-04-07,"7,800"
2014-04-08,"7,870"
2014-04-09,"7,950"
2014-04-10,"8,005"
2014-04-11,"7,925"
2014-04-14,"7,950"
2014-04-15,"7,895"
2014-04-16,"7,845"
2014-04-17,"7,850"
2014-04-18,"7,880"
2014-04-21,"7,870"
2014-04-22,"7,830"
2014-04-23,"7,805"
2014-04-24,"7,770"
2014-04-25,"7,630"
2014-04-28,"7,590"
2014-04-29,"7,495"
2014-04-30,"7,550"
2014-05-02,"7,575"
2014-05-07,"7,470"
2014-05-08,"7,550"
2014-05-09,"7,595"
2014-05-12,"7,560"
2014-05-13,"7,645"
2014-05-14,"7,820"
2014-05-15,"7,850"
2014-05-16,"7,845"
2014-05-19,"7,860"
2014-05-20,"7,775"
2014-05-21,"7,670"
2014-05-22,"7,745"
2014-05-23,"7,725"
2014-05-26,"7,675"
2014-05-27,"7,640"
2014-05-28,"7,645"
2014-05-29,"7,605"
2014-05-30,"7,525"
2014-06-02,"7,585"
2014-06-03,"7,550"
2014-06-05,"7,510"
2014-06-09,"7,605"
2014-06-10,"7,650"
2014-06-11,"7,730"
2014-06-12,"7,690"
2014-06-13,"7,610"
2014-06-16,"7,610"
2014-06-17,"7,595"
2014-06-18,"7,540"
2014-06-19,"7,575"
2014-06-20,"7,485"
2014-06-23,"7,515"
2014-06-24,"7,605"
2014-06-25,"7,555"
2014-06-26,"7,610"
2014-06-27,"7,600"
2014-06-30,"7,635"
2014-07-01,"7,565"
2014-07-02,"7,570"
2014-07-03,"7,560"
2014-07-04,"7,515"
2014-07-07,"7,540"
2014-07-08,"7,540"
2014-07-09,"7,570"
2014-07-10,"7,560"
2014-07-11,"7,505"
2014-07-14,"7,535"
2014-07-15,"7,615"
2014-07-16,"7,655"
2014-07-17,"7,675"
2014-07-18,"7,585"
2014-07-21,"7,665"
2014-07-22,"7,720"
2014-07-23,"7,815"
2014-07-24,"7,765"
2014-07-25,"7,900"
2014-07-28,"8,205"
2014-07-29,"8,395"
2014-07-30,"8,490"
2014-07-31,"8,545"
2014-08-01,"8,545"
2014-08-04,"8,530"
2014-08-05,"8,480"
2014-08-06,"8,560"
2014-08-07,"8,560"
2014-08-08,"8,440"
2014-08-11,"8,465"
2014-08-12,"8,545"
2014-08-13,"8,560"
2014-08-14,"8,665"
2014-08-18,"8,605"
2014-08-19,"8,715"
2014-08-20,"8,700"
2014-08-21,"8,445"
2014-08-22,"8,570"
2014-08-25,"8,580"
2014-08-26,"8,680"
2014-08-27,"8,840"
2014-08-28,"8,760"
2014-08-29,"8,780"
2014-09-01,"8,725"
2014-09-02,"8,750"
2014-09-03,"8,970"
2014-09-04,"8,905"
2014-09-05,"8,835"
2014-09-11,"8,760"
2014-09-12,"8,795"
2014-09-15,"8,505"
2014-09-16,"8,555"
2014-09-17,"8,535"
2014-09-18,"8,570"
2014-09-19,"8,550"
2014-09-22,"8,490"
2014-09-23,"8,605"
2014-09-24,"8,555"
2014-09-25,"8,500"
2014-09-26,"8,215"
2014-09-29,"8,260"
2014-09-30,"8,155"
2014-10-01,"7,940"
2014-10-02,"7,990"
2014-10-06,"7,985"
2014-10-07,"8,075"
2014-10-08,"8,000"
2014-10-10,"8,015"
2014-10-13,"8,015"
2014-10-14,"7,910"
2014-10-15,"7,865"
2014-10-16,"7,865"
2014-10-17,"7,825"
