월,KOSPI,KOSDAQ,KOSPI PBR,VKOSPI
2026-04-01,6598.87 ,1192.35 ,2.11,59.64
2026-03-01,5052.46 ,1052.39 ,1.62,61.48
2026-02-01,6244.13 ,1192.78 ,2.00,54.12
2026-01-01,5224.36 ,1149.44 ,1.68,39.58
2025-12-01,4214.17 ,925.47 ,1.35,39.58
2025-11-01,3926.59 ,912.67 ,1.32,30.2
2025-10-01,4107.50 ,900.42 ,1.38,30.4
2025-09-01,3424.60 ,841.99 ,1.15 ,20.6
2025-08-01,3186.01 ,796.91 ,1.07 ,19.5
2025-07-01,3245.44 ,805.24 ,1.09 ,21.9
2025-06-01,3071.70 ,781.50 ,1.03 ,24
2025-05-01,2697.67 ,734.35 ,0.92 ,22.6
2025-04-01,2556.61 ,717.24 ,0.89 ,20.7
2025-03-01,2481.12 ,672.85 ,0.87 ,25.4
2025-02-01,2532.78 ,743.96 ,0.89 ,22.9
2025-01-01,2517.37 ,728.29 ,0.88 ,18.8
2024-12-01,2399.49 ,678.19 ,0.84 ,21.1
2024-11-01,2455.91 ,678.19 ,0.86 ,19.3
2024-10-01,2556.15 ,743.06 ,0.90 ,22.7
2024-09-01,2593.27 ,763.88 ,0.91 ,25.9
2024-08-01,2674.31 ,767.66 ,0.96 ,18.8
2024-07-01,2770.69 ,803.15 ,0.99 ,17.5
2024-06-01,2797.82 ,840.44 ,1.00 ,16.1
2024-05-01,2636.52 ,839.98 ,0.96 ,16.9
2024-04-01,2692.06 ,868.93 ,0.98,18.1
2024-03-01,2746.63 ,905.50 ,1.00,16.8
2024-02-01,2642.36 ,862.96 ,0.96,16.8
2024-01-01,2497.09 ,799.24 ,0.91,17
2023-12-01,2655.28 ,866.57 ,0.96,17.8
2023-11-01,2535.29 ,831.68 ,0.92,14.5
2023-10-01,2277.99 ,736.10 ,0.83 ,19.9
2023-09-01,2465.07 ,841.02 ,0.89 ,15.1
2023-08-01,2556.27 ,928.40 ,0.94 ,12.8
2023-07-01,2632.58 ,935.97 ,0.96 ,14.2
2023-06-01,2564.28 ,868.24 ,0.94 ,12.6
