code,name,weight,category
CASH,CASH,0,CASH
A01179,H World Group,0.075,trend
A00857,Petrochina H,0.075,trend
A03969,China Railway Signal Communication H,0.075,trend
A02057,ZTO Express (Cayman),0.075,trend
A01816,CGN Power H,0.075,trend
A09987,Yum China Holdings,0.075,trend
A09901,New Oriental Education & Technology Group,0.075,trend
A03993,China Molybdenum H,0.075,trend
A00992,Lenovo Group,0.075,trend
A00168,Tsingtao Brewery H,0.075,trend
A00576,Zhejiang Expressway H,0.05,value
A03988,Bank of China H,0.05,value
A01910,Samsonite International,0.05,value
A01398,Industrial and Commercial Bank of China H,0.05,value
A00939,China Construction Bank H,0.05,value
