code,name,weight,category
ACASH,CASH,0.12,
A086980,쇼박스,0.011,Small Cap Growth
A317240,TS트릴리온,0.011,Small Cap Growth
A031510,오스템,0.011,Small Cap Growth
A187870,디바이스,0.011,Small Cap Growth
A420570,제이투케이바이오,0.011,Small Cap Growth
A259630,엠플러스,0.011,Small Cap Growth
A001540,안국약품,0.011,Small Cap Growth
A047080,한빛소프트,0.011,Small Cap Growth
A222040,코스맥스엔비티,0.011,Small Cap Growth
A025560,미래산업,0.011,Small Cap Growth
A228850,레이언스,0.011,Small Cap Growth
A089790,제이티,0.011,Small Cap Growth
A000020,동화약품,0.011,Small Cap Growth
A001550,조비,0.011,Small Cap Growth
A126640,화신정공,0.011,Small Cap Growth
A052900,KX하이텍,0.011,Small Cap Growth
A009140,경인전자,0.011,Small Cap Growth
A459100,위츠,0.011,Small Cap Growth
A047310,파워로직스,0.011,Small Cap Growth
A123010,알엔티엑스,0.011,Small Cap Growth
A047080,한빛소프트,0.011,Small Cap Simple-Fin
A143540,영우디에스피,0.011,Small Cap Simple-Fin
A031510,오스템,0.011,Small Cap Simple-Fin
A090080,평화산업,0.011,Small Cap Simple-Fin
A126640,화신정공,0.011,Small Cap Simple-Fin
A297570,알로이스,0.011,Small Cap Simple-Fin
A198080,캐프,0.011,Small Cap Simple-Fin
A091340,S&K폴리텍,0.011,Small Cap Simple-Fin
A378850,화승알앤에이,0.011,Small Cap Simple-Fin
A310870,디와이씨,0.011,Small Cap Simple-Fin
A273060,와이즈버즈,0.011,Small Cap Simple-Fin
A0013V0,삼진식품,0.011,Small Cap Simple-Fin
A041460,한국전자인증,0.011,Small Cap Simple-Fin
A317240,TS트릴리온,0.011,Small Cap Simple-Fin
A088790,진도,0.011,Small Cap Simple-Fin
A021050,서원,0.011,Small Cap Simple-Fin
A051380,피씨디렉트,0.011,Small Cap Simple-Fin
A123010,알엔티엑스,0.011,Small Cap Simple-Fin
A050110,캠시스,0.011,Small Cap Simple-Fin
A053050,지에스이,0.011,Small Cap Simple-Fin
A001540,안국약품,0.011,Middle Cap
A000020,동화약품,0.011,Middle Cap
A248170,샘표식품,0.011,Middle Cap
A086980,쇼박스,0.011,Middle Cap
A259630,엠플러스,0.011,Middle Cap
A228850,레이언스,0.011,Middle Cap
A052900,KX하이텍,0.011,Middle Cap
A058850,KTcs,0.011,Middle Cap
A100220,비상교육,0.011,Middle Cap
A011320,유니크,0.011,Middle Cap
A009070,KCTC,0.011,Middle Cap
A038460,바이오스마트,0.011,Middle Cap
A171120,라이온켐텍,0.011,Middle Cap
A052260,현대바이오랜드,0.011,Middle Cap
A025560,미래산업,0.011,Middle Cap
A090350,노루페인트,0.011,Middle Cap
A317400,자이에스앤디,0.011,Middle Cap
A047310,파워로직스,0.011,Middle Cap
A013700,까뮤이앤씨,0.011,Middle Cap
A000850,화천기공,0.011,Middle Cap
A052330,코텍,0.011,Large Cap
A170900,동아에스티,0.011,Large Cap
A002350,넥센타이어,0.011,Large Cap
A064550,바이오니아,0.011,Large Cap
A071200,인피니트헬스케어,0.011,Large Cap
A096530,씨젠,0.011,Large Cap
A006280,녹십자,0.011,Large Cap
A281820,케이씨텍,0.011,Large Cap
A003220,대원제약,0.011,Large Cap
A206640,바디텍메드,0.011,Large Cap
A054210,이랜텍,0.011,Large Cap
A100120,뷰웍스,0.011,Large Cap
A005250,녹십자홀딩스,0.011,Large Cap
A033240,자화전자,0.011,Large Cap
A092870,엑시콘,0.011,Large Cap
A192080,더블유게임즈,0.011,Large Cap
A241770,메카로,0.011,Large Cap
A078070,유비쿼스홀딩스,0.011,Large Cap
A002790,아모레퍼시픽홀딩스,0.011,Large Cap
A034810,해성산업,0.011,Large Cap
