code,name,weight,category
ARKO,ARKO,0.0495,TCM
HTZ,HERTZ GLOBAL HLDGS,0.0495,TCM
AMC,AMC Entertainment Holdings Class A,0.0495,TCM
CLF,Cleveland Cliffs,0.0495,TCM
PBF,PBF Energy Class A,0.0495,TCM
RXT,Rackspace Technology,0.0495,TCM
MAGN,Magnera,0.0495,TCM
OSCR,Oscar Health Class A,0.0495,TCM
DNUT,Krispy Kreme,0.0495,TCM
HUN,Huntsman,0.0495,TCM
CURV,Torrid Holdings,0.0495,SCG
TBI,Trueblue,0.0495,SCG
SPWH,Sportsmans Warehouse Holdings,0.0495,SCG
ZIP,Ziprecruiter Class A,0.0495,SCG
DOMO,Domo Class B,0.0495,SCG
SPWR,Sunpower,0.0495,SCG
CHGG,Chegg,0.0495,SCG
CNDT,Conduent,0.0495,SCG
DCGO,DocGo,0.0495,SCG
UIS,Unisys,0.0495,SCG
CASH,CASH,0.01,
