date,open,high,low,close
2006-06-27,7915,8050,7897,8050
2006-06-28,7711,7989,7711,7989
2006-06-29,8138,8138,8106,8106
2006-06-30,8389,8389,8231,8324
2006-07-03,8407,8407,8315,8380
2006-07-04,8407,8463,8333,8352
2006-07-05,8236,8426,8236,8370
2006-07-06,8407,8407,8222,8315
2006-07-07,8412,8412,8361,8389
2006-07-10,8361,8510,8287,8510
2006-07-11,8472,8640,8454,8640
2006-07-12,8640,8705,8551,8677
2006-07-13,8575,8700,8575,8668
2006-07-14,8668,8668,8449,8547
2006-07-18,7729,8454,7729,8347
2006-07-19,8347,8407,8315,8407
2006-07-20,8584,8584,8421,8505
2006-07-21,8175,8491,8175,8491
2006-07-24,8454,8491,8361,8491
2006-07-25,8547,8556,8519,8556
2006-07-26,8584,8584,8528,8575
2006-07-27,8584,8635,8547,8630
2006-07-28,8742,8742,8547,8621
2006-07-31,8668,8798,8668,8798
2006-08-01,8798,8867,8584,8863
2006-08-02,8816,8816,8695,8812
2006-08-03,8826,8872,8760,8798
2006-08-04,8826,9197,8705,8826
2006-08-07,8918,8960,8798,8807
2006-08-08,8807,8807,8723,8723
2006-08-09,9290,9290,8709,8774
2006-08-10,8774,8816,8686,8816
2006-08-11,8844,9244,8751,8751
2006-08-14,8909,8909,8658,8733
2006-08-16,8826,8826,8742,8816
2006-08-17,8937,9048,8881,8937
2006-08-18,9104,9141,8965,9132
2006-08-21,9290,9290,9076,9104
2006-08-22,9104,9271,9011,9179
2006-08-23,9072,9276,9039,9276
2006-08-24,9104,9109,8918,9030
2006-08-25,8923,9290,8923,9165
2006-08-28,9253,9262,9123,9220
2006-08-29,9160,9290,9160,9290
2006-08-30,9383,9383,9285,9318
2006-08-31,9313,9541,9313,9541
2006-09-01,9662,9703,9476,9703
2006-09-04,9708,10126,9629,9750
2006-09-05,9755,9755,9606,9666
2006-09-06,9699,9755,9657,9694
2006-09-07,9309,9662,9309,9634
2006-09-08,9662,9875,9634,9875
2006-09-11,9875,9875,9662,9755
2006-09-12,9745,9801,9615,9708
2006-09-13,9801,9875,9755,9801
2006-09-14,9792,9885,9755,9847
2006-09-15,9847,10173,9838,10173
2006-09-18,10219,10405,10173,10312
2006-09-19,10321,10358,10173,10330
2006-09-20,10321,10321,9987,10070
2006-09-21,10279,10279,9922,9996
2006-09-22,9931,9931,9713,9713
