date,close
2011-08-23,"723,000"
2011-08-24,"708,000"
2011-08-25,"725,000"
2011-08-26,"726,000"
2011-08-29,"733,000"
2011-08-30,"742,000"
2011-08-31,"744,000"
2011-09-01,"771,000"
2011-09-02,"769,000"
2011-09-05,"731,000"
2011-09-06,"727,000"
2011-09-07,"773,000"
2011-09-08,"798,000"
2011-09-09,"780,000"
2011-09-14,"753,000"
2011-09-15,"771,000"
2011-09-16,"798,000"
2011-09-19,"808,000"
2011-09-20,"811,000"
2011-09-21,"813,000"
2011-09-22,"790,000"
2011-09-23,"758,000"
2011-09-26,"775,000"
2011-09-27,"804,000"
2011-09-28,"807,000"
2011-09-29,"837,000"
2011-09-30,"840,000"
2011-10-04,"828,000"
2011-10-05,"842,000"
2011-10-06,"855,000"
2011-10-07,"860,000"
2011-10-10,"874,000"
2011-10-11,"881,000"
2011-10-12,"898,000"
2011-10-13,"890,000"
2011-10-14,"886,000"
2011-10-17,"890,000"
2011-10-18,"883,000"
2011-10-19,"886,000"
2011-10-20,"907,000"
2011-10-21,"917,000"
2011-10-24,"941,000"
2011-10-25,"945,000"
2011-10-26,"934,000"
2011-10-27,"924,000"
2011-10-28,"945,000"
2011-10-31,"968,000"
2011-11-01,"990,000"
2011-11-02,"971,000"
2011-11-03,"967,000"
2011-11-04,"1,005,000"
2011-11-07,"993,000"
2011-11-08,"970,000"
2011-11-09,"985,000"
2011-11-10,"935,000"
2011-11-11,"983,000"
2011-11-14,"996,000"
2011-11-15,"996,000"
2011-11-16,"975,000"
2011-11-17,"980,000"
2011-11-18,"963,000"
2011-11-21,"950,000"
2011-11-22,"963,000"
2011-11-23,"935,000"
2011-11-24,"943,000"
2011-11-25,"947,000"
2011-11-28,"978,000"
2011-11-29,"1,005,000"
2011-11-30,"1,004,000"
2011-12-01,"1,074,000"
2011-12-02,"1,050,000"
2011-12-05,"1,066,000"
2011-12-06,"1,044,000"
2011-12-07,"1,056,000"
2011-12-08,"1,064,000"
2011-12-09,"1,053,000"
2011-12-12,"1,084,000"
2011-12-13,"1,050,000"
2011-12-14,"1,040,000"
2011-12-15,"1,015,000"
2011-12-16,"1,045,000"
2011-12-19,"1,007,000"
2011-12-20,"1,012,000"
2011-12-21,"1,057,000"
2011-12-22,"1,052,000"
2011-12-23,"1,068,000"
2011-12-26,"1,066,000"
2011-12-27,"1,073,000"
2011-12-28,"1,061,000"
2011-12-29,"1,058,000"
2012-01-02,"1,080,000"
2012-01-03,"1,105,000"
2012-01-04,"1,080,000"
2012-01-05,"1,055,000"
2012-01-06,"1,040,000"
2012-01-09,"1,016,000"
2012-01-10,"1,026,000"
2012-01-11,"1,021,000"
